Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$53.2001,-0.5099,-0.949%,94547484.00,United States,,3708,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.2041,-0.0007,-0.342%,28006889.00,Canada,2015,169769,,
ACU,Acme United Corporation. Common Stock,$25.55,0.55,2.20%,90312326.00,United States,1988,33980,Consumer Discretionary,Home Furnishings
ADEX,Adit EdTech Acquisition Corp. Common Stock,$10.22,0.00,0.00%,352590000.00,,2021,1,Industrials,Consumer Electronics/Appliances
ADRT,Ault Disruptive Technologies Corporation Common Stock,$10.40,0.00,0.00%,149500000.00,,2022,750,Industrials,Consumer Electronics/Appliances
AE,Adams Resources & Energy Inc. Common Stock,$57.32,0.28,0.491%,140571797.00,United States,1980,52841,Energy,Oilfield Services/Equipment
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.33,0.09,1.718%,270506977.00,United States,,22355,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.6181,0.0284,4.816%,23455135.00,,2018,4236,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.539,0.019,3.654%,21392916.00,United States,1997,60368,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$13.59,0.49,3.74%,42333679.00,United States,2014,5071,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$5.00,-0.01,-0.20%,16239685.00,United States,,6719,Industrials,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.3099,0.0219,7.604%,7869343.00,China,,27393,Consumer Discretionary,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$0.2799,0.001,0.359%,4222513.00,United States,2022,43861,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$3.1356,0.1056,3.485%,19293347.00,United States,1988,27102,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$4.17,0.04,0.969%,52187367.00,Canada,2000,26171,,
AREN,The Arena Group Holdings Inc. Common Stock,$7.08,-0.03,-0.422%,129586606.00,,2022,23528,Technology,Interactive Media
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.76,-0.015,-0.541%,99759389.00,United States,,3743,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.71,0.0014,0.198%,84027854.00,Canada,,290080,,
ASXC,Asensus Surgical Inc. Common Stock,$0.73,0.0419,6.089%,172893120.00,United States,,2057528,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$10.13,0.07,0.696%,258145890.00,United States,,207967,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.1248,0.0104,9.091%,49258287.00,United States,1997,4775045,Industrials,Military/Government/Technical
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$13.8999,0.1999,1.459%,,United States,,4925,,
AUMN,Golden Minerals Company Common Stock,$0.225,0.0089,4.118%,37682548.00,United States,,334423,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$0.8894,-0.0082,-0.914%,11803894.00,,2022,21734,,
AWX,Avalon Holdings Corporation Common Stock,$2.9407,0.1357,4.838%,11467057.00,United States,1998,56690,Utilities,Environmental Services
BATL,Battalion Oil Corporation Common Stock,$8.65,0.33,3.966%,141382650.00,,,9573,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$18.30,0.23,1.273%,106843781.00,United States,1972,15726,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$23.55,-0.01,-0.042%,,United States,,2608,,
BDL,Flanigan's Enterprises Inc. Common Stock,$28.47,0.08,0.282%,52915680.00,United States,1972,7695,Consumer Discretionary,Restaurants
BGI,Birks Group Inc. Common Stock,$8.24,0.00,0.00%,154343185.00,Canada,,17754,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$29.76,-0.26,-0.866%,448870080.00,United States,1997,9216,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$21.02,0.13,0.622%,80790412.00,,2022,19814,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,$3.2599,-0.0901,-2.69%,55367110.00,United States,,9347,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$3.33,0.05,1.524%,40754029.00,,2018,56248,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$12.10,-0.01,-0.083%,229298981.00,,,22216,Finance,Commercial Banks
BRN,Barnwell Industries Inc. Common Stock,$2.46,0.08,3.361%,24493450.00,United States,1965,19311,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$3.58,0.00,0.00%,3846948661.00,Canada,,6144957,,
BTTR,Better Choice Company Inc. Common Stock,$0.6935,-0.0141,-1.993%,20392734.00,,2021,15374,Consumer Discretionary,Food Distributors
BURU,Nuburu Inc. Common Stock,$5.00,0.24,5.042%,170834420.00,,2020,47574,Technology,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.71,0.01,0.37%,9593817.00,Israel,,20930,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$0.37,0.01,2.778%,103103401.00,United States,,150401,Health Care,Medical Specialities
CCEL,Cryo-Cell International Inc. Common Stock,$3.88,0.04,1.042%,33054690.00,United States,2022,2974,Health Care,Managed Health Care
CCF,Chase Corporation Common Stock,$101.62,1.09,1.084%,965391829.00,United States,1995,17060,Consumer Discretionary,Paints/Coatings
CEI,Camber Energy Inc. Common Stock,$1.78,0.10,5.952%,31603829.00,United States,,1780408,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$35.60,0.47,1.338%,995959342.00,United States,1951,17054,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$9.93,0.10,1.017%,69843400.00,United States,1999,16733,Finance,Finance/Investors Services
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.79,-0.01,-0.357%,146025788.00,United States,,173814,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$18.70,0.09,0.484%,230143836.00,United States,1998,3869,Technology,Security Systems Services
CKX,CKX Lands Inc. Common Stock,$9.90,-0.30,-2.941%,19546827.00,United States,2003,270,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$8.10,0.06,0.746%,1657030187.00,United States,2003,1071682,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$13.64,-0.53,-3.74%,235744376.00,Canada,,45768,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$17.34,0.01,0.058%,154679771.00,United States,1996,52108,Consumer Discretionary,Electronic Components
COHN,Cohen & Company Inc.,$8.8212,-0.1273,-1.423%,15145489.00,United States,,4356,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.0632,-0.0058,-8.406%,3263808.00,China,,4576610,Health Care,Biotechnology: Pharmaceutical Preparations
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$49.38,-0.35,-0.704%,23901481544.00,United States,2007,368652,Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.66,0.04,0.525%,744165630.00,United States,2003,756982,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$23.5999,0.1899,0.811%,170329163.00,,2021,478,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.99,0.05,5.319%,41833036.00,,2022,55167,Technology,EDP Services
CVM,Cel-Sci Corporation Common Stock,$2.96,0.62,26.496%,129467040.00,United States,1997,461021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$30.28,0.05,0.165%,29254477.00,United States,1930,299,Consumer Discretionary,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$3.76,-0.18,-4.569%,46561686.00,United States,2022,40639,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.4595,-0.0025,-0.541%,87300055.00,,,1492091,Health Care,Pharmaceuticals and Biotechnology
DC,Dakota Gold Corp. Common Stock,$2.98,0.09,3.114%,218071188.00,,2022,134550,Basic Materials,Precious Metals
DHY,Credit Suisse High Yield Bond Fund Common Stock,$1.91,0.00,0.00%,197711234.00,United States,1998,270835,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$173.47,3.43,2.017%,105999190.00,United States,1999,100,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$14.00,0.64,4.79%,98014280.00,United States,2000,24987,Consumer Discretionary,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.18,0.02,0.325%,128279910.00,United States,1988,66075,Finance,Finance/Investors Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$10.23,-0.04,-0.389%,0.00,,2022,905,Industrials,Consumer Electronics/Appliances
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.28,0.02,1.587%,1052434785.00,Canada,,3949506,,
DPSI,DecisionPoint Systems Inc. Common Stock,$7.65,0.00,0.00%,56590829.00,,2022,8136,Technology,Retail: Computer Software & Peripheral Equipment
DSS,DSS Inc. Common Stock,$0.23,0.0021,0.921%,31973950.00,United States,,82073,,
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.1775,0.0175,10.938%,3706056.00,China,,549418,Consumer Discretionary,Apparel
EAD,Allspring Income Opportunities Fund Common Shares,$6.68,0.04,0.602%,398968184.00,United States,2003,188482,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$8.69,0.14,1.637%,119102238.00,United States,1986,36864,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$23.03,0.11,0.48%,,United States,,100,,
EFSH,1847 Holdings LLC Common Shares,$1.385,-0.065,-4.483%,5961698.00,,2022,17344,Industrials,Consumer Electronics/Appliances
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.08,0.10,1.002%,725288095.00,United States,2002,138418,Finance,Finance/Investors Services
